Image,Label
363.jpg,1
364.jpg,0
365.jpg,0
366.jpg,0
367.jpg,0
368.jpg,1
369.jpg,0
37.jpg,1
370.jpg,1
371.jpg,0
372.jpg,0
373.jpg,1
374.jpg,1
375.jpg,0
376.jpg,0
377.jpg,1
378.jpg,1
379.jpg,0
38.jpg,0
380.jpg,0
381.jpg,1
382.jpg,1
383.jpg,1
384.jpg,0
385.jpg,0
386.jpg,1
387.jpg,0
388.jpg,0
389.jpg,0
39.jpg,0
390.jpg,0
391.jpg,0
392.jpg,0
393.jpg,0
394.jpg,0
395.jpg,1
396.jpg,1
397.jpg,0
398.jpg,1
399.jpg,0
4.jpg,0
40.jpg,1
41.jpg,1
42.jpg,1
43.jpg,0
44.jpg,0
45.jpg,0
46.jpg,0
47.jpg,0
48.jpg,0
49.jpg,0
5.jpg,0
50.jpg,0
51.jpg,1
52.jpg,0
53.jpg,0
54.jpg,1
55.jpg,0
56.jpg,1
57.jpg,0
58.jpg,1
59.jpg,1
6.jpg,0
60.jpg,1
61.jpg,0
62.jpg,0
63.jpg,0
64.jpg,0
65.jpg,0
66.jpg,1
67.jpg,1
68.jpg,1
69.jpg,0
7.jpg,0
70.jpg,0
71.jpg,1
72.jpg,0
73.jpg,0
74.jpg,1
75.jpg,1
76.jpg,0
77.jpg,1
78.jpg,1
79.jpg,1
8.jpg,0
80.jpg,0
81.jpg,0
82.jpg,1
83.jpg,1
84.jpg,0
85.jpg,0
86.jpg,0
87.jpg,1
88.jpg,0
89.jpg,1
9.jpg,0
90.jpg,1
91.jpg,1
92.jpg,1
93.jpg,0
94.jpg,1
95.jpg,0
96.jpg,1
97.jpg,0
98.jpg,1
99.jpg,1
